C,Avgpdp
0.0,-3.67661816032789
2.5e-6,-1.5320220051835591
5.0e-6,-0.8320212574528809
7.500000000000001e-6,-0.46794326599015934
1.0e-5,-0.2597926241073802
1.25e-5,-0.13414455233119169
1.5000000000000002e-5,-0.049983395721794416
1.7500000000000002e-5,0.002783246028207207
2.0e-5,0.042202509295173385
2.25e-5,0.07111198814834722
2.5e-5,0.09224510242883145
2.75e-5,0.10775622393367842
3.0000000000000004e-5,0.11312046357338747
3.2500000000000004e-5,0.11765040085118644
3.5000000000000004e-5,0.12333808339611801
3.7500000000000003e-5,0.12781220156567963
4.0e-5,0.13114293604379124
4.25e-5,0.13229289810639214
4.5e-5,0.13297741465071705
4.75e-5,0.13367694989760173
5.0e-5,0.13399434925158324
5.25e-5,0.13395904545155674
5.5e-5,0.1336256297199011
5.75e-5,0.13305164954703969
6.000000000000001e-5,0.13216883208832864
6.25e-5,0.1311169964557872
6.500000000000001e-5,0.1282844012473051
6.75e-5,0.1267218640357554
7.000000000000001e-5,0.12526854469952545
7.25e-5,0.1238384457338107
7.500000000000001e-5,0.12241358404751335
7.75e-5,0.1209973439259506
8.0e-5,0.1192496861095583
8.250000000000001e-5,0.11765787105193697
8.5e-5,0.11613781120294675
8.750000000000001e-5,0.11465051481295459
9.0e-5,0.1131961921596965
9.250000000000001e-5,0.11127785364635703
9.5e-5,0.10970708359937871
9.750000000000001e-5,0.10820824256360648
0.0001,0.10675298219145325
0.000125,0.11309216093123702
0.00015000000000000001,0.1169566060970787
0.00017500000000000003,0.11751520050539696
0.0002,0.1175470895087249
0.00022500000000000002,0.11670530994695556
0.00025,0.11531970203120323
0.000275,0.1136914587374616
0.00030000000000000003,0.11187130267017761
0.00032500000000000004,0.1098109886501622
0.00035000000000000005,0.10774405576798819
0.000375,0.10563274836126961
0.0004,0.10348277887617516
0.00042500000000000003,0.10129945030724509
0.00045000000000000004,0.09919889194567448
0.00047500000000000005,0.09715220015766143
0.0005,0.09517342625683464
0.0005250000000000001,0.09326451001143198
0.00055,0.09132718976214103
0.0005750000000000001,0.08942398690026604
0.0006000000000000001,0.08759992592449671
0.000625,0.08583898494599528
0.0006500000000000001,0.0841407014011934
0.000675,0.08250198737554254
0.0007000000000000001,0.08092426155876509
